"DeviceName","DeviceClass","Manufacturer","DriverVersion","DriverDate","DriverProviderName","IsSigned","InfName"
"Generic software device","SOFTWAREDEVICE","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","c_swdevice.inf"
"Generic software device","SOFTWAREDEVICE","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","c_swdevice.inf"
"Generic software device","SOFTWAREDEVICE","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","c_swdevice.inf"
"Generic software device","SOFTWAREDEVICE","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","c_swdevice.inf"
"Generic software device","SOFTWAREDEVICE","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","c_swdevice.inf"
"Generic software device","SOFTWAREDEVICE","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","c_swdevice.inf"
"Generic software device","SOFTWAREDEVICE","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","c_swdevice.inf"
"Generic software device","SOFTWAREDEVICE","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","c_swdevice.inf"
"ACPI Audio Compositor Device","SYSTEM","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","True","oem84.inf"
"ACPI Lid","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"ACPI Processor Aggregator","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","acpipagr.inf"
"ACPI Sleep Button","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"ACPI Wake Alarm","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","acpitime.inf"
"Charge Arbitration Driver","SYSTEM","(Standard system devices)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","ChargeArbitration.inf"
