"FriendlyName","Class","Manufacturer","Status","Problem","InstanceId"
"HID-compliant consumer control device","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_01&COL02\7&27A9E0F&0&0001"
"HID-compliant consumer control device","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL02\8&1DFCDEF3&0&0001"
"HID-compliant consumer control device","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL02\7&25936E11&0&0001"
"HID-compliant consumer control device","HIDClass","Microsoft","OK","CM_PROB_NONE","HID\CONVERTEDDEVICE&COL02\5&5923126&0&0001"
"HID-compliant consumer control device","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL02\7&1A68576E&0&0001"
"HID-compliant consumer control device","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_01&COL02\8&29F3806E&0&0001"
"HID-compliant consumer control device","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL02\7&E77A003&0&0001"
"HID-compliant consumer control device","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_047F&PID_C058&MI_03&COL01\7&6704BE1&0&0000"
"HID-compliant consumer control device","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL02\8&4955910&0&0001"
"HID-compliant consumer control device","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_A524&MI_03&COL02\7&2893BDB8&0&0001"
"HID-compliant device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_0424&PID_7260&MI_01\8&1F985819&0&0000"
"HID-compliant device","HIDClass","(Standard system devices)","OK","CM_PROB_NONE","HID\VID_0424&PID_7260&MI_01\8&32FA727&0&0000"
"HID-compliant headset","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_047F&PID_C057&MI_03&COL02\7&7092578&0&0001"
"HID-compliant headset","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_047F&PID_C058&MI_03&COL02\7&6704BE1&0&0001"
"HID-compliant headset","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_A524&MI_03&COL04\7&2893BDB8&0&0003"
"HID-compliant headset","HIDClass","Microsoft","OK","CM_PROB_NONE","HID\HID_DEVICE_SYSTEM_VHF&COL02\9&25542E13&0&0001"
