"FriendlyName","Class","Status","Problem","InstanceId"
"HD Audio Driver for Display Audio","MEDIA","Unknown","CM_PROB_PHANTOM","HDAUDIO\SUBFUNC_01&VEN_8086&DEV_281D&NID_0001&SUBSYS_00000000&REV_1000\6&15D34DFF&0&0002&00000015"
"HD Audio Driver for Display Audio","MEDIA","Unknown","CM_PROB_PHANTOM","HDAUDIO\SUBFUNC_01&VEN_8086&DEV_281D&NID_0001&SUBSYS_00000000&REV_1000\6&15D34DFF&0&0002&00000029"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_4503\6&8542BEA&0&4"
"Dell Display and Peripheral Manager Software","SoftwareComponent","Unknown","CM_PROB_PHANTOM","SWD\DRIVERENUM\DPMAUTOINSTALLDRIVER_DEVICE_COMPONENT&8&30751357&0"
"HID-compliant mouse","Mouse","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_01&COL01\7&27A9E0F&0&0000"
"HID-compliant consumer control device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL02\7&E77A003&0&0001"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_4503&MI_01\7&17DFCA00&0&0001"
"Headset Earphone (Dell WH3024 Headset)","AudioEndpoint","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{BC42209B-3F5B-415A-B455-B15988168434}"
"Generic SuperSpeed USB Hub","USB","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_7206\5&266331BC&0&5"
"Headphone on SoundWire Device (5- Cirrus Logic XU)","AudioEndpoint","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{987C4194-3282-4AF6-8FD6-883392922465}"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_00\9&33F7EB9B&0&0000"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C538&MI_01&COL02\8&198EA069&0&0001"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_7260\6&3A827133&0&5"
"Speakers (Logi USB Headset)","AudioEndpoint","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{74D8CEEC-4335-409A-B527-F9D6DAF13F99}"
"HID-compliant consumer control device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_01&COL02\8&29F3806E&0&0001"
"HID-compliant mouse","Mouse","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL01\9&1020ADD9&0&0000"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514&MI_02\7&2E598572&0&0002"
"HID-compliant mouse","Mouse","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL01\7&E77A003&0&0000"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_C010\11AD1D0A92AE3E01290A0B00"
"HID-compliant consumer control device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL02\7&12C0DE21&0&0001"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL05\8&62FF1EE&0&0004"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C534&MI_00\6&20A717C4&0&0000"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C538&MI_01\7&BE57B28&0&0001"
"Generic Monitor","Monitor","Unknown","CM_PROB_PHANTOM","DISPLAY\LGD07A6\1&8713BCA&0&UID0"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL04\8&62FF1EE&0&0003"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_047F&PID_C057&MI_03\6&162F5009&0&0003"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C538&MI_00\7&BE57B28&0&0000"
"HID-compliant system controller","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL03\8&62FF1EE&0&0002"
"USB2 Controller Hub","USBDevice","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_7240\7&25713747&0&4"
"Dell U2422HE(USB Type_C)","Monitor","Unknown","CM_PROB_PHANTOM","DISPLAY\DELA1B9\4&20B8D095&0&UID24648"
"HID-compliant consumer control device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_A524&MI_03&COL02\7&2893BDB8&0&0001"
"HID-compliant consumer control device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL02\7&1A68576E&0&0001"
"HID-compliant consumer control device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL02\8&62FF1EE&0&0001"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL01\8&24C30B19&0&0000"
"Generic SuperSpeed USB Hub","USB","Unknown","CM_PROB_PHANTOM","USB\VID_1D5C&PID_5500\5&266331BC&0&4"
"Generic SuperSpeed USB Hub","USB","Unknown","CM_PROB_PHANTOM","USB\VID_1D5C&PID_5500\5&266331BC&0&5"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_00\8&1C58E555&0&0000"
"Dell Display and Peripheral Manager Software","SoftwareComponent","Unknown","CM_PROB_PHANTOM","SWD\DRIVERENUM\DPMAUTOINSTALLDRIVER_DEVICE_COMPONENT&8&1FE6394F&0"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_248D&PID_8003\6&2C6B0633&0&0000"
"HID-compliant mouse","Mouse","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL01\8&62FF1EE&0&0000"
"Generic volume shadow copy","VolumeSnapshot","Unknown","CM_PROB_PHANTOM","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT1"
"Generic volume shadow copy","VolumeSnapshot","Unknown","CM_PROB_PHANTOM","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT2"
"Realtek USB GbE Family Controller #2","Net","Unknown","CM_PROB_PHANTOM","USB\VID_0BDA&PID_8153\001000001"
"HID-compliant system controller","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL03\8&17CA6AF0&0&0002"
"SoundWire ACX Streaming for SDW - Headphones","MEDIA","Unknown","CM_PROB_PHANTOM","{F67B0BEA-BDB7-47D3-9131-75877CDE0ED4}\STREAMING_HEADPHONES&CP_{A91AEFC4-6A26-11F1-A27A-54582D32ED0C}\6&C603BDD&0"
"USB Serial Device (COM5)","Ports","Unknown","CM_PROB_PHANTOM","USB\VID_0E8D&PID_0003\6&6A9522F&0&2"
"USB Serial Device (COM4)","Ports","Unknown","CM_PROB_PHANTOM","USB\VID_0E8D&PID_0003\6&6A9522F&0&4"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_047F&PID_C057&MI_03&COL03\7&7092578&0&0002"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_00\7&324EDDC5&0&0000"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL05\8&1DFCDEF3&0&0004"
"HID-compliant device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_0424&PID_7260&MI_01\8&1F985819&0&0000"
"HID-compliant headset","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_047F&PID_C057&MI_03&COL02\7&7092578&0&0001"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514&MI_01\8&2985FA89&0&0001"
"Headset Earphone (Plantronics Blackwire 3215 Series)","AudioEndpoint","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{12171FDB-FAA1-48DB-9745-5B9326CA9F76}"
"Generic Monitor (Logi)","Monitor","Unknown","CM_PROB_PHANTOM","DISPLAY\TSB2345\4&20B8D095&0&UID8263"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_00\7&11165FA1&0&0000"
"Digital Output (Crestron Miracast Receiver)","AudioEndpoint","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{CDCD83A8-0046-4171-8AC8-C367EB72C1E5}"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514\5&2DC84FBA&0&6"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514\5&2DC84FBA&0&7"
"HID-compliant consumer control device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_047F&PID_C057&MI_03&COL01\7&7092578&0&0000"
"Generic USB Hub","USB","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_4216\6&3A827133&0&4"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_02&COL01\8&3AFFADC2&0&0000"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_284C\6&1B0DDC8F&0&6"
"Realtek USB GbE Family Controller #3","Net","Unknown","CM_PROB_PHANTOM","USB\VID_0BDA&PID_8153\0013000001"
"Headset Microphone (Plantronics Blackwire 3215 Series)","AudioEndpoint","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.1.00000000}.{06F99BFB-2B02-424E-8E26-951A6063B2B5}"
