"Name","Id","Path","StartTime","CPU_s","WorkingSetMB"
"sihost","13800","C:\Windows\system32\sihost.exe","18-08-2026 14:31:21","66.515625","15.5"
"SIMService","4688","C:\Program Files (x86)\DW5934e Snapdragon X72 5G\Utilities\SIM based Firmware Switching Tool\SIMService.exe","18-08-2026 14:30:54","309.609375","20"
"smss","860",,"18-08-2026 14:30:43","0.171875","0"
"SMSvcHost","4764","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","18-08-2026 14:30:54","5.046875","11.7"
"SnippingTool","4524","C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2602.49.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe","19-08-2026 12:24:38","0.65625","8.4"
"spksvc","4908","C:\Program Files\Spektion\Spektion Sensor\spksvc.exe","18-08-2026 14:30:54","1274.28125","71.7"
"spoolsv","4268","C:\Windows\System32\spoolsv.exe","18-08-2026 14:30:54","328.46875","8.9"
"sqlbrowser","4924","C:\Program Files (x86)\Microsoft SQL Server\90\Shared\sqlbrowser.exe","18-08-2026 14:30:54","0.15625","2.5"
"sqlceip","5664","C:\Program Files\Microsoft SQL Server\MSSQL15.BARTENDER\MSSQL\Binn\sqlceip.exe","18-08-2026 14:30:54","17.890625","43.4"
"sqlservr","4828","C:\Program Files\Microsoft SQL Server\MSSQL15.BARTENDER\MSSQL\Binn\sqlservr.exe","18-08-2026 14:30:54","5061.328125","71.3"
"sqlservr","8804","C:\Program Files\Microsoft SQL Server\120\LocalDB\Binn\sqlservr.exe","18-08-2026 14:33:15","3059.75","48"
"sqlservr","20340","C:\Program Files\Microsoft SQL Server\120\LocalDB\Binn\sqlservr.exe","19-08-2026 14:56:47","14.265625","242.5"
"sqlwriter","4948","C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe","18-08-2026 14:30:54","0.59375","3.2"
