"DeviceName","Manufacturer","DriverVersion","DriverDate","DriverProviderName","InfName","IsSigned"
"Intel(R) Wireless Manageability","Intel","267.102.85.0","02-11-2026 05:30:00","Intel","oem566.inf","True"
"Intel(R) Management Engine WMI Provider","Intel","2546.9.2.0","13-11-2025 05:30:00","Intel","oem567.inf","True"
"Intel(R) Management Engine Interface #1","Intel","2603.9.4.0","13-01-2026 05:30:00","Intel","oem561.inf","True"
"HID-compliant vendor-defined device","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","input.inf","True"
"Microsoft Input Configuration Device","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","mtconfig.inf","True"
"HID-compliant touch pad","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","input.inf","True"
"HID-compliant mouse","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","msmouse.inf","True"
"I2C HID Device","Microsoft","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","hidi2c.inf","True"
"Intel(R) Serial IO I2C Host Controller - 777B","Intel Corporation","30.100.2527.40","07-03-2025 05:30:00","Intel Corporation","oem20.inf","True"
"Intel(R) Serial IO I2C Host Controller - 7778","Intel Corporation","30.100.2527.40","07-03-2025 05:30:00","Intel Corporation","oem20.inf","True"
"Intel(R) Wi-Fi 7 BE201 320MHz","Intel Corporation","24.50.0.4","20-05-2026 05:30:00","Intel","oem533.inf","True"
"PCI standard RAM Controller","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","machine.inf","True"
"HID-compliant vendor-defined device","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","input.inf","True"
"HID-compliant headset","Microsoft","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","hidtelephonydriver.inf","True"
"HID-compliant consumer control device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","hidserv.inf","True"
"USB Input Device","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","input.inf","True"
"Audio Endpoint","Microsoft","10.0.26100.1","31-03-2024 05:30:00","Microsoft","audioendpoint.inf","True"
"Audio Endpoint","Microsoft","10.0.26100.1","31-03-2024 05:30:00","Microsoft","audioendpoint.inf","True"
"USB Audio Device","(Generic USB Audio)","10.0.26100.8875","07-10-2026 05:30:00","Microsoft","wdma_usb.inf","True"
"USB Composite Device","(Standard USB Host Controller)","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","usb.inf","True"
"HID-compliant device","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","input.inf","True"
"USB Input Device","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","input.inf","True"
"WinUsb Device","WinUsb Device","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","winusb.inf","True"
"USB Composite Device","(Standard USB Host Controller)","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","usb.inf","True"
"WinUsb Device","WinUsb Device","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","winusb.inf","True"
"Generic USB Hub","(Standard USB HUBs)","10.0.26100.8737","18-06-2026 05:30:00","Microsoft","usbhub3.inf","True"
"Generic USB Hub","(Standard USB HUBs)","10.0.26100.8737","18-06-2026 05:30:00","Microsoft","usbhub3.inf","True"
"Dell Display and Peripheral Manager Software","Dell Technologies Inc.","1.0.0.8","03-03-2025 05:30:00","Dell Technologies Inc.","oem425.inf","True"
"Dell Universal Receiver HID-compliant vendor-defined device","Dell Inc.","2.2.0.0","12-03-2025 05:30:00","Dell Inc.","oem135.inf","True"
"HID-compliant vendor-defined device","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","input.inf","True"
"USB Input Device","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","input.inf","True"
"HID-compliant system controller","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","input.inf","True"
"HID-compliant consumer control device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","hidserv.inf","True"
"HID-compliant mouse","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","msmouse.inf","True"
"USB Input Device","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","input.inf","True"
"HID Keyboard Device","(Standard keyboards)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","keyboard.inf","True"
"USB Input Device","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","input.inf","True"
"USB Composite Device","(Standard USB Host Controller)","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","usb.inf","True"
"Intel(R) Wireless Bluetooth(R)","Intel Corporation","24.50.0.4","05-08-2026 05:30:00","Intel Corporation","oem532.inf","True"
